redtrack.source,redtrack.source_alias,redtrack.source_id,everflow.affiliate_id,everflow.affiliate_label,everflow.advertiser_id,everflow.advertiser_label
Facebook CCW,facebook,66c79f91be26fd4634569658,1,G2 - Meta,1,CCW
Meta CCW AWF2 Stephanie ,facebook,6807d9120ee9ffc623c1d7e5,1,SB - Meta,1,CCW
Meta CCW SB Political,facebook,68b87e99882b48e6620a3116,1,SB - Meta,1,CCW
Facebook EXP,facebook,67c097f0aee15ff71f3f99aa,1,G2 - Meta,2,EXP
Google Ads CCW (No-redirect tracking),google,62b29551c6880d00014d8c73,1,G2 - Google,1,CCW
Facebook CTI,facebook,68ae2e73d5616519ce48e5e3,n/a,n/a,n/a,n/a
Facebook CCW BHS,facebook,68a3991afcfc495698310fee,1,BHS,1,CCW
Google Ads AWF2 SB,google,6883b1f8b5c72b423a7543a8,1,SB - Google,1,CCW
Google Ads (No-redirect tracking) Acc #2,google,677c764c35168400c81bf749,1,G2 - Google,1,CCW
Google Ads (No-redirect tracking) Banned,google,677c268947eb81ff2afea98a,1,G2 - Google,1,CCW
Google Ads (No-redirect tracking) AWF SB,google,68431fb5900bfbd41432a4ea,1,SB - Google,1,CCW
Facebook AWF CCW,facebook,628fd466f765760001f37209,1,G2 - Meta,1,CCW
Google Ads (unitedstatesofpatriots.com),google,682f621d013e261d51c0672f,n/a,n/a,1,CCW
Google Ads Auto Insurance Stephanie,google,6807cdb766fd1829467446e8,6,SB - Google,n/a,n/a
Google Ads (No-redirect tracking) #4,google,678eaa16ca6db9b0860d79a8,1,G2 - Google,1,CCW
Google Ads (No-redirect tracking) Acc #15,google,682b7a019c1661a163355975,1,G2 - Google,1,CCW
Google Ads (No-redirect tracking) Acc #5,google,6793c67b2d6085c55930df20,1,G2 - Google,1,CCW
713 Meta,facebook,684af9a4e05c3dc4f599c32e,n/a,n/a,n/a,n/a
